Los Angeles Memorial Coliseum,Natural grass,Los Angeles Rams
MetLife Stadium,UBU Speed Series S5-M Synthetic Turf,New York Giants
MetLife Stadium,UBU Speed Series S5-M Synthetic Turf,New York Jets
FedExField,Latitude 36 Bermuda Grass,Washington Redskins
Lambeau Field,Hybrid Grass-Synthetic,Green Bay Packers
AT&T Stadium,Matrix RealGras,Dallas Cowboys
Arrowhead Stadium,Latitude 36 Bermuda Grass,Kansas City Chiefs
Sports Authority Field at Mile High,Kentucky Bluegrass,Denver Broncos
Bank of America Stadium,Voyager Bermuda Grass,Carolina Panthers
Ralph Wilson Stadium,A-Turf Titan,Buffalo Bills
Mercedes-Benz Superdome,UBU Turf,New Orleans Saints
NRG Stadium,AstroTurf GameDay Grass 3D,Houston Texans
Georgia Dome,FieldTurf Classic HD,Atlanta Falcons
M&T Bank Stadium,Latitude 36 Bermuda Grass,Baltimore Ravens
Qualcomm Stadium,Bandera Bermuda Grass,San Diego Chargers
Lincoln Financial Field,Desso GrassMaster,Philadelphia Eagles
Nissan Stadium,TifSport Bermuda Grass,Tennessee Titans
CenturyLink Field,FieldTurf Revolution,Seattle Seahawks
Gillette Stadium,FieldTurf Revolution,New England Patriots
Levi's Stadium,Tifway II Bermuda Grass / Perennial Ryegrass mixture,San Francisco 49ers
Heinz Field,Kentucky Bluegrass,Pittsburgh Steelers
FirstEnergy Stadium,Kentucky Bluegrass,Cleveland Browns
EverBank Field,Tifway 419 Bermuda Grass,Jacksonville Jaguars
Lucas Oil Stadium,FieldTurf Classic HD,Indianapolis Colts
U.S. Bank Stadium,UBU Speed Series S5-M Synthetic T,Minnesota Vikings
Raymond James Stadium,Tifway 419 Bermuda Grass,Tampa Bay Buccaneers
Paul Brown Stadium,UBU Speed Series S5-M Synthetic Turf,Cincinnati Bengals
New Miami Stadium,Prescription Athletic Turf (Tifway 419 Bermuda Grass),Miami Dolphins
Ford Field,FieldTurf Classic HD,Detroit Lions
University ofPhoenix Stadium,Tifway 419 Bermuda Grass,Arizona Cardinals
Soldier Field,Kentucky Bluegrass,Chicago Bears
Oakland Alameda Coliseum,Tifway II Bermuda Grass,Oakland Raiders
Estadio Azteca,Grass,NFL international
Wembley Stadium,Desso GrassMaster,NFL international
Twickenham Stadium,Desso GrassMaster,NFL international
